2014-07-01 15:45:18,548 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7f0d08bc: startup date [Tue Jul 01 15:45:18 BST 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2014-07-01 15:45:19,867 | INFO  | PListStore:[C:\Instrument\Apps\EPICS\ISIS\pyocLogServer\ActiveMQ\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2014-07-01 15:45:19,906 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Instrument\Apps\EPICS\ISIS\pyocLogServer\ActiveMQ\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2014-07-01 15:45:20,195 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:NDW1298-58279-1404225920062-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2014-07-01 15:45:20,219 | INFO  | Listening for connections at: tcp://NDW1298:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-01 15:45:20,226 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2014-07-01 15:45:20,234 | INFO  | Listening for connections at: amqp://NDW1298:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-01 15:45:20,239 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2014-07-01 15:45:20,250 | INFO  | Listening for connections at: stomp://NDW1298:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-01 15:45:20,255 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2014-07-01 15:45:20,263 | INFO  | Listening for connections at: mqtt://NDW1298:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-01 15:45:20,271 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2014-07-01 15:45:20,417 | INFO  | Listening for connections at ws://NDW1298:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2014-07-01 15:45:20,418 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2014-07-01 15:45:20,426 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:NDW1298-58279-1404225920062-0:1) started | org.apache.activemq.broker.BrokerService | main
2014-07-01 15:45:20,429 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2014-07-01 15:45:20,875 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2014-07-01 15:45:20,959 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2014-07-01 15:45:21,284 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2014-07-02 10:30:02,706 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@3589193f: startup date [Wed Jul 02 10:30:02 BST 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2014-07-02 10:30:04,037 | INFO  | PListStore:[C:\Instrument\Apps\EPICS\ISIS\pyocLogServer\ActiveMQ\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
